backend,device,D,B,n_params,hidden,layers,estimator,iters,mean_ms,p50_ms,p90_ms,min_ms,max_ms,error
jax,cpu:0,2,64,4417,64,3,exact_sm,20,0.40292910007337923,0.39887449975140044,0.480083000184095,0.32491699948877795,0.5381669998314464,
jax,cpu:0,2,64,4417,64,3,hutch_sm,20,0.31523124985142204,0.312041499910265,0.360375000127533,0.2279999998791027,0.4623750000973814,
jax,cpu:0,2,64,4417,64,3,sliced_sm,20,0.455927000120937,0.4151875000388827,0.6081659994379152,0.2884579998863046,0.7431249996443512,
jax,cpu:0,2,64,4417,64,3,dsm,20,0.17111025008489378,0.17379150040142122,0.2066669994746917,0.1387920001434395,0.23520800004916964,
jax,cpu:0,2,64,4417,64,3,mle_like,20,0.10968130009132437,0.10831250028786599,0.1295000001846347,0.08175000039045699,0.13450000005832408,
jax,cpu:0,8,64,4801,64,3,exact_sm,20,0.9592937999059359,0.9521459996904014,1.0629999997036066,0.8327499999722932,1.187834000120347,
jax,cpu:0,8,64,4801,64,3,hutch_sm,20,0.7984769999893615,0.40639600047143176,0.7702080001763534,0.2811659996950766,5.265540999971563,
jax,cpu:0,8,64,4801,64,3,sliced_sm,20,0.3639750000729691,0.3470210003797547,0.43779099996754667,0.27754199982155114,0.4982919999747537,
jax,cpu:0,8,64,4801,64,3,dsm,20,0.1861584999915067,0.16904199992495705,0.254917000347632,0.12591700033226516,0.3145000000586151,
jax,cpu:0,8,64,4801,64,3,mle_like,20,0.1843937498961168,0.16922899931159918,0.2924999998867861,0.08324999998876592,0.3489580003588344,
jax,cpu:0,64,64,8385,64,3,exact_sm,20,3.1035020500439714,3.0694370002493088,3.3477910001238342,2.7684169999702135,3.6687920000986196,
jax,cpu:0,64,64,8385,64,3,hutch_sm,20,0.51121045007676,0.5089165001663787,0.6000839994158014,0.398457999835955,0.62362500011659,
jax,cpu:0,64,64,8385,64,3,sliced_sm,20,2.2036270000626246,0.7560620001640928,4.317375000027823,0.497624999297841,14.751333000276645,
jax,cpu:0,64,64,8385,64,3,dsm,20,0.4012020000118355,0.41499999997540726,0.4559999997582054,0.3275419994679396,0.46674999975948595,
jax,cpu:0,64,64,8385,64,3,mle_like,20,0.11157290000483044,0.10999999994965037,0.11924999944312731,0.09679200047685299,0.14045800071471604,
jax,cpu:0,512,64,37057,64,3,exact_sm,20,51.915962549946926,49.27614600001107,65.23062500036758,38.200707999749284,122.61824999950477,
jax,cpu:0,512,64,37057,64,3,hutch_sm,20,1.4001645999542234,1.3894585003981774,1.562082999953418,1.067749999492662,1.699708999694849,
jax,cpu:0,512,64,37057,64,3,sliced_sm,20,1.5151604999573465,1.5385420006168715,1.6182499994101818,1.1945839996769791,1.7411660001016571,
jax,cpu:0,512,64,37057,64,3,dsm,20,1.0835166999640933,1.035937500091677,1.24741699983133,0.9121659995798836,1.4035419999345322,
jax,cpu:0,512,64,37057,64,3,mle_like,20,0.27372704998924746,0.2730205001171271,0.30141699971864,0.20941599996149307,0.3852090003420017,
jax,cpu:0,2048,64,135361,64,3,exact_sm,20,1064.1207331998885,1036.3230624998323,1252.5261249993491,862.3353750008391,1399.428667000393,
jax,cpu:0,2048,64,135361,64,3,hutch_sm,20,2.536473149939411,2.539000500291877,2.815499999996973,2.110082999934093,2.9634170005010674,
jax,cpu:0,2048,64,135361,64,3,sliced_sm,20,2.3637960499399924,2.309770999545435,2.62445799944544,2.038416999312176,2.808000000186439,
jax,cpu:0,2048,64,135361,64,3,dsm,20,2.2532583500833425,2.193937500123866,2.4642080006742617,2.061124999272579,2.8052920006302884,
jax,cpu:0,2048,64,135361,64,3,mle_like,20,0.531697899896244,0.5229994999353949,0.6107499993959209,0.4476249996514525,0.6785420000596787,
