seed,model,accuracy,auroc,ece,localization_f1_top2,positive_intervention_prob_drop
0,scalar_compressed_ebm,0.616,0.6916329284750338,0.0804264254396942,0.0,0.08659798848698118
0,bag_classifier,0.626,0.6818167212904055,0.0825686451163841,0.068,0.07909187602993824
0,decomposed_ebm,1.0,1.0,0.02874433998822658,0.8706666666666691,0.9731591574853788
0,full_position_classifier,1.0,1.0,0.02874433998822658,0.8706666666666691,0.9731591574853788
1,scalar_compressed_ebm,0.518,0.6622400642312324,0.1834408634120401,0.0,0.10190772287853504
1,bag_classifier,0.534,0.6557687675632277,0.1274028214376861,0.199,0.08225819848387177
1,decomposed_ebm,1.0,1.0,0.029268469448004875,0.8660000000000023,0.9770208534282563
1,full_position_classifier,1.0,1.0,0.029268469448004875,0.8660000000000023,0.9770208534282563
2,scalar_compressed_ebm,0.616,0.6679506933744221,0.07049793019376371,0.0,0.09157645651996697
2,bag_classifier,0.592,0.6577747817154597,0.0584758595929173,0.079,0.07647583423622553
2,decomposed_ebm,1.0,1.0,0.029794573651661885,0.864666666666669,0.9735510073687015
2,full_position_classifier,1.0,1.0,0.029794573651661885,0.864666666666669,0.9735510073687015
